"Order","Technique","TestName","auto_generated_guid","supported_platforms","TimeoutSeconds","InputArgs","AtomicsFolder","enabled","notes"
,"T1001.002","Steganographic Tarball Embedding","c7921449-8b62-4c4d-8a83-d9281ac0190b","windows","120","","Public","False",""
,"T1001.002","Embedded Script in Image Execution via Extract-Invoke-PSImage","04bb8e3d-1670-46ab-a3f1-5cee64da29b6","windows","120","","Public","False",""
,"T1003","Gsecdump","96345bfc-8ae7-4b6a-80b7-223200f24ef9","windows","120","","Public","False",""
,"T1003","Credential Dumping with NPPSpy","9e2173c0-ba26-4cdf-b0ed-8c54b27e3ad6","windows","120","","Public","False",""
,"T1003","Dump svchost.exe to gather RDP credentials","d400090a-d8ca-4be0-982e-c70598a23de9","windows","120","","Public","False",""
,"T1003","Retrieve Microsoft IIS Service Account Credentials Using AppCmd (using list)","6c7a4fd3-5b0b-4b30-a93e-39411b25d889","windows","120","","Public","False",""
,"T1003","Retrieve Microsoft IIS Service Account Credentials Using AppCmd (using config)","42510244-5019-48fa-a0e5-66c3b76e6049","windows","120","","Public","False",""
,"T1003","Dump Credential Manager using keymgr.dll and rundll32.exe","84113186-ed3c-4d0d-8a3c-8980c86c1f4a","windows","120","","Public","False",""
,"T1003","Send NTLM Hash with RPC Test Connection","0b207037-813c-4444-ac3f-b597cf280a67","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory using ProcDump","0be2230c-9ab3-4ac2-8826-3199b9a0ebf8","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory using comsvcs.dll","2536dee2-12fb-459a-8c37-971844fa73be","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory using direct system calls and API unhooking","7ae7102c-a099-45c8-b985-4c7a2d05790d","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory using NanoDump","dddd4aca-bbed-46f0-984d-e4c5971c51ea","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory using Windows Task Manager","dea6c349-f1c6-44f3-87a1-1ed33a59a607","windows","120","","Public","False",""
,"T1003.001","Offline Credential Theft With Mimikatz","453acf13-1dbd-47d7-b28a-172ce9228023","windows","120","","Public","False",""
,"T1003.001","LSASS read with pypykatz","c37bc535-5c62-4195-9cc3-0517673171d8","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory using Out-Minidump.ps1","6502c8f0-b775-4dbd-9193-1298f56b6781","windows","120","","Public","False",""
,"T1003.001","Create Mini Dump of LSASS.exe using ProcDump","7cede33f-0acd-44ef-9774-15511300b24b","windows","120","","Public","False",""
,"T1003.001","Powershell Mimikatz","66fb0bc1-3c3f-47e9-a298-550ecfefacbc","windows","120","","Public","False",""
,"T1003.001","Dump LSASS with createdump.exe from .Net v5","9d0072c8-7cca-45c4-bd14-f852cfa35cf0","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe using imported Microsoft DLLs","86fc3f40-237f-4701-b155-81c01c48d697","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe using lolbin rdrleakdiag.exe","47a539d1-61b9-4364-bf49-a68bc2a95ef0","windows","120","","Public","False",""
,"T1003.001","Dump LSASS.exe Memory through Silent Process Exit","eb5adf16-b601-4926-bca7-dad22adffb37","windows","120","","Public","False",""
,"T1003.002","Registry dump of SAM, creds, and secrets","5c2571d0-1572-416d-9676-812e64ca9f44","windows","120","","Public","False",""
,"T1003.002","Registry parse with pypykatz","a96872b2-cbf3-46cf-8eb4-27e8c0e85263","windows","120","","Public","False",""
,"T1003.002","esentutl.exe SAM copy","a90c2f4d-6726-444e-99d2-a00cd7c20480","windows","120","","Public","False",""
,"T1003.002","PowerDump Hashes and Usernames from Registry","804f28fc-68fc-40da-b5a2-e9d0bce5c193","windows","120","","Public","False",""
,"T1003.002","dump volume shadow copy hives with certutil","eeb9751a-d598-42d3-b11c-c122d9c3f6c7","windows","120","","Public","False",""
,"T1003.002","dump volume shadow copy hives with System.IO.File","9d77fed7-05f8-476e-a81b-8ff0472c64d0","windows","120","","Public","False",""
,"T1003.002","WinPwn - Loot local Credentials - Dump SAM-File for NTLM Hashes","0c0f5f06-166a-4f4d-bb4a-719df9a01dbb","windows","120","","Public","False",""
,"T1003.002","Dumping of SAM, creds, and secrets(Reg Export)","21df41be-cdd8-4695-a650-c3981113aa3c","windows","120","","Public","False",""
,"T1003.003","Create Volume Shadow Copy with vssadmin","dcebead7-6c28-4b4b-bf3c-79deb1b1fc7f","windows","120","","Public","False",""
,"T1003.003","Copy NTDS.dit from Volume Shadow Copy","c6237146-9ea6-4711-85c9-c56d263a6b03","windows","120","","Public","False",""
,"T1003.003","Dump Active Directory Database with NTDSUtil","2364e33d-ceab-4641-8468-bfb1d7cc2723","windows","120","","Public","False",""
,"T1003.003","Create Volume Shadow Copy with WMI","224f7de0-8f0a-4a94-b5d8-989b036c86da","windows","120","","Public","False",""
,"T1003.003","Create Volume Shadow Copy remotely with WMI","d893459f-71f0-484d-9808-ec83b2b64226","windows","120","","Public","False",""
,"T1003.003","Create Volume Shadow Copy remotely (WMI) with esentutl","21c7bf80-3e8b-40fa-8f9d-f5b194ff2865","windows","120","","Public","False",""
,"T1003.003","Create Volume Shadow Copy with Powershell","542bb97e-da53-436b-8e43-e0a7d31a6c24","windows","120","","Public","False",""
,"T1003.003","Create Symlink to Volume Shadow Copy","21748c28-2793-4284-9e07-d6d028b66702","windows","120","","Public","False",""
,"T1003.003","Create Volume Shadow Copy with diskshadow","b385996c-0e7d-4e27-95a4-aca046b119a7","windows","120","","Public","False",""
,"T1003.004","Dumping LSA Secrets","55295ab0-a703-433b-9ca4-ae13807de12f","windows","120","","Public","False",""
,"T1003.004","Dump Kerberos Tickets from LSA using dumper.ps1","2dfa3bff-9a27-46db-ab75-7faefdaca732","windows","120","","Public","False",""
,"T1003.005","Cached Credential Dump via Cmdkey","56506854-89d6-46a3-9804-b7fde90791f9","windows","120","","Public","False",""
,"T1003.006","DCSync (Active Directory)","129efd28-8497-4c87-a1b0-73b9a870ca3e","windows","120","","Public","False",""
,"T1003.006","Run DSInternals Get-ADReplAccount","a0bced08-3fc5-4d8b-93b7-e8344739376e","windows","120","","Public","False",""
,"T1005","Search files of interest and save them to a single zip file (Windows)","d3d9af44-b8ad-4375-8b0a-4bff4b7e419c","windows","120","","Public","False",""
,"T1006","Read volume boot sector via DOS device path (PowerShell)","88f6327e-51ec-4bbf-b2e8-3fea534eab8b","windows","120","","Public","False",""
,"T1007","System Service Discovery","89676ba1-b1f8-47ee-b940-2e1a113ebc71","windows","120","","Public","False",""
,"T1007","System Service Discovery - net.exe","5f864a3f-8ce9-45c0-812c-bdf7d8aeacc3","windows","120","","Public","False",""
,"T1007","Get-Service Execution","51f17016-d8fa-4360-888a-df4bf92c4a04","windows","120","","Public","False",""
,"T1010","List Process Main Windows - C# .NET","fe94a1c3-3e22-4dc9-9fdf-3a8bdbc10dc4","windows","120","","Public","False",""
,"T1012","Query Registry","8f7578c4-9863-4d83-875c-a565573bbdf0","windows","120","","Public","False",""
,"T1012","Query Registry with Powershell cmdlets","0434d081-bb32-42ce-bcbb-3548e4f2628f","windows","120","","Public","False",""
,"T1012","Enumerate COM Objects in Registry with Powershell","0d80d088-a84c-4353-af1a-fc8b439f1564","windows","120","","Public","False",""
,"T1012","Reg query for AlwaysInstallElevated status","6fb4c4c5-f949-4fd2-8af5-ddbc61595223","windows","120","","Public","False",""
,"T1012","Check Software Inventory Logging (SIL) status via Registry","5c784969-1d43-4ac7-8c3d-ed6d025ed10d","windows","120","","Public","False",""
,"T1012","Inspect SystemStartOptions Value in Registry","96257079-cdc1-4aba-8705-3146e94b6dce","windows","120","","Public","False",""
,"T1016","System Network Configuration Discovery on Windows","970ab6a1-0157-4f3f-9a73-ec4166754b23","windows","120","","Public","False",""
,"T1016","List Windows Firewall Rules","038263cb-00f4-4b0a-98ae-0696c67e1752","windows","120","","Public","False",""
,"T1016","System Network Configuration Discovery (TrickBot Style)","dafaf052-5508-402d-bf77-51e0700c02e2","windows","120","","Public","False",""
